交易时间,开盘价,最高价,最低价,收盘价,涨跌幅(%)
2024-11-05,69638.0,75488.0,68680.0,74296.1,6.69
2024-11-06,74296.1,76422.0,74129.9,76059.9,2.37
2024-11-07,76060.0,76882.2,75484.9,76415.1,0.47
2024-11-08,76415.1,77198.1,75801.7,76313.8,-0.13
2024-11-09,76313.8,80300.0,75715.0,79700.0,4.44
2024-11-10,79700.1,84349.0,78520.1,84097.3,5.52
2024-11-11,84097.3,89991.0,83880.0,86600.0,2.98
2024-11-12,86600.0,92735.8,85737.0,92561.2,6.88
2024-11-13,92561.1,93372.0,87837.6,87965.9,-4.96
2024-11-14,87965.9,90740.0,86666.0,88441.6,0.54
2024-11-15,88441.6,91874.6,88376.2,90527.4,2.36
2024-11-16,90527.4,91500.0,89343.2,90262.4,-0.29
2024-11-17,90262.5,92666.0,88700.0,92367.9,2.33
2024-11-18,92368.0,92838.0,89688.0,92398.0,0.03
2024-11-19,92398.0,94829.9,91281.9,94721.6,2.51
2024-11-20,94721.7,98442.9,93127.1,96687.4,2.08
2024-11-21,96687.5,99490.0,96320.1,98650.9,2.03
2024-11-22,98651.0,99640.8,98235.0,98404.6,-0.25
2024-11-23,98404.7,98588.0,95902.4,95956.1,-2.49
2024-11-24,95956.1,98954.4,94605.2,96000.1,0.05
2024-11-25,96000.1,96533.1,91500.0,92813.8,-3.32
2024-11-26,92812.1,95880.0,90825.0,95560.3,2.96
2024-11-27,95560.3,97200.0,94650.7,95011.7,-0.57
2024-11-28,95012.6,98657.4,94732.5,98026.0,3.17
2024-11-29,98026.0,98500.0,95214.1,96667.3,-1.39
2024-11-30,96667.3,98400.0,95706.1,97042.8,0.39
2024-12-01,97042.8,98249.9,94787.9,97049.5,0.01
2024-12-02,97048.3,97382.7,93606.0,95703.1,-1.39
2024-12-03,95703.0,97000.0,94888.1,95769.9,0.07
2024-12-04,95769.9,104547.0,94596.3,101344.2,5.82
2024-12-05,101344.2,102163.7,88664.7,99326.8,-1.99
2024-12-06,99326.9,102000.0,98777.0,99739.5,0.42
2024-12-07,99739.6,100568.8,98650.0,99915.2,0.18
